sick_cd,sick_nm,sickCd,sickEngNm,sickNm
D06,Carcinoma in situ of cervix uteri,D06,Carcinoma in situ of cervix uteri,자궁경부의 제자리암종
D07,Carcinoma in situ of other and unspecified genital organs,D07,Carcinoma in situ of other and unspecified genital organs,기타 및 상세불명의 생식기관의 제자리암종
D09,Carcinoma in situ of other and unspecified sites,D09,Carcinoma in situ of other and unspecified sites,기타 및 상세불명 부위의 제자리암종
D10,Benign neoplasm of mouth and pharynx,D10,Benign neoplasm of mouth and pharynx,입 및 인두의 양성 신생물
D11,Benign neoplasm of major salivary glands,D11,Benign neoplasm of major salivary glands,주침샘의 양성 신생물
D12,"Benign neoplasm of colon, rectum, anus and anal canal",D12,"Benign neoplasm of colon, rectum, anus and anal canal","결장, 직장, 항문 및 항문관의 양성 신생물"
D13,Benign neoplasm of other and ill-defined parts of digestive system,D13,Benign neoplasm of other and ill-defined parts of digestive system,기타 및 부위불명의 소화계통의 양성 신생물
D14,Benign neoplasm of middle ear and respiratory system,D14,Benign neoplasm of middle ear and respiratory system,중이 및 호흡계통의 양성 신생물
D15,Benign neoplasm of other and unspecified intrathoracic organs,D15,Benign neoplasm of other and unspecified intrathoracic organs,기타 및 상세불명의 흉곽내기관의 양성 신생물
D16,Benign neoplasm of bone and articular cartilage,D16,Benign neoplasm of bone and articular cartilage,골 및 관절연골의 양성 신생물
D17,Benign lipomatous neoplasm,D17,Benign lipomatous neoplasm,양성 지방종성 신생물
D18,"Haemangioma and lymphangioma, any site",D18,"Haemangioma and lymphangioma, any site",모든 부위의 혈관종 및 림프관종
D19,Benign neoplasm of mesothelial tissue,D19,Benign neoplasm of mesothelial tissue,중피조직의 양성 신생물
D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,후복막 및 복막 연조직의 양성 신생물
D21,Other benign neoplasms of connective and other soft tissue,D21,Other benign neoplasms of connective and other soft tissue,결합조직 및 기타 연조직의 기타 양성 신생물
D22,Melanocytic naevi,D22,Melanocytic naevi,멜라닌세포모반
D23,Other benign neoplasms of skin,D23,Other benign neoplasms of skin,피부의 기타 양성 신생물
D24,Benign neoplasm of breast,D24,Benign neoplasm of breast,유방의 양성 신생물
